,Model,Augmentation,mean mNN Similarity,std mNN Similarity
0,conch,rotate_30,0.6403533220291138,0.006471834145486355
1,conch,rotate_60,0.6259183883666992,0.007018970791250467
2,conch,rotate_90,0.7417505979537964,0.006938281934708357
3,conch,rotate_120,0.6251296401023865,0.005837408825755119
4,conch,rotate_150,0.637561023235321,0.0070676980540156364
5,conch,rotate_180,0.8094567656517029,0.003511386225000024
6,conch,rotate_210,0.6354200839996338,0.00917984452098608
7,conch,rotate_240,0.6229333281517029,0.009125717915594578
8,conch,rotate_270,0.7412299513816833,0.005968518555164337
9,conch,rotate_300,0.6249346137046814,0.005659217480570078
10,conch,rotate_330,0.6402075290679932,0.005723109003156424
11,conch,rotate_15,0.6766657829284668,0.0056465864181518555
12,conch,rotate_45,0.6208021640777588,0.008424166589975357
13,conch,rotate_75,0.6451600193977356,0.00545360567048192
14,conch,rotate_105,0.6434217095375061,0.00820907298475504
15,conch,rotate_135,0.6188539862632751,0.007961188443005085
16,conch,rotate_165,0.6722694039344788,0.009266739711165428
17,conch,rotate_195,0.6701709032058716,0.008651836775243282
18,conch,rotate_225,0.62017822265625,0.01198369637131691
19,conch,rotate_255,0.6445465087890625,0.008710001595318317
20,conch,rotate_285,0.6451202034950256,0.005957851652055979
21,conch,rotate_315,0.6212214231491089,0.008154075592756271
22,conch,rotate_345,0.6779542565345764,0.006765693426132202
23,uni,rotate_30,0.7419458627700806,0.006080112885683775
24,uni,rotate_60,0.7180722951889038,0.006593093276023865
25,uni,rotate_90,0.76642906665802,0.005700163543224335
26,uni,rotate_120,0.7102572321891785,0.007028117310255766
27,uni,rotate_150,0.7143837213516235,0.007106472738087177
28,uni,rotate_180,0.7789842486381531,0.00700590293854475
29,uni,rotate_210,0.7129451632499695,0.005800324957817793
30,uni,rotate_240,0.7112956643104553,0.00894089788198471
31,uni,rotate_270,0.776348352432251,0.007752977777272463
32,uni,rotate_300,0.7299512624740601,0.006055720616132021
33,uni,rotate_330,0.7438390254974365,0.006407339125871658
34,uni,rotate_15,0.7666184306144714,0.005475840996950865
35,uni,rotate_45,0.7230899333953857,0.0065091499127447605
36,uni,rotate_75,0.7237516045570374,0.006156054325401783
37,uni,rotate_105,0.7210877537727356,0.007944168522953987
38,uni,rotate_135,0.7083957195281982,0.006756529677659273
39,uni,rotate_165,0.7275019884109497,0.006891477853059769
40,uni,rotate_195,0.7273657321929932,0.005305331666022539
41,uni,rotate_225,0.703751802444458,0.0061151557601988316
42,uni,rotate_255,0.7220777869224548,0.007385788951069117
43,uni,rotate_285,0.7343394756317139,0.005803728010505438
44,uni,rotate_315,0.7307400107383728,0.00545552046969533
45,uni,rotate_345,0.7665830850601196,0.005896375980228186
46,pathdino,rotate_30,0.834915280342102,0.0050376844592392445
47,pathdino,rotate_60,0.8334192037582397,0.003639545291662216
48,pathdino,rotate_90,0.9293469190597534,0.002527018776163459
49,pathdino,rotate_120,0.8325188755989075,0.005426060874015093
50,pathdino,rotate_150,0.8337833881378174,0.004298807121813297
51,pathdino,rotate_180,0.9329768419265747,0.002208065940067172
52,pathdino,rotate_210,0.8335570096969604,0.0038527895230799913
53,pathdino,rotate_240,0.8332993984222412,0.0036582874599844217
54,pathdino,rotate_270,0.9300244450569153,0.002949316753074527
55,pathdino,rotate_300,0.8332207798957825,0.004241211339831352
56,pathdino,rotate_330,0.834163248538971,0.005868138279765844
57,pathdino,rotate_15,0.8469778299331665,0.004397362004965544
58,pathdino,rotate_45,0.8288125395774841,0.004277161322534084
59,pathdino,rotate_75,0.8474127054214478,0.0038895998150110245
60,pathdino,rotate_105,0.8456336855888367,0.003875255584716797
61,pathdino,rotate_135,0.8266107439994812,0.003973314538598061
62,pathdino,rotate_165,0.8457497954368591,0.002973839407786727
63,pathdino,rotate_195,0.8480930328369141,0.004859111737459898
64,pathdino,rotate_225,0.8272358775138855,0.003587581217288971
65,pathdino,rotate_255,0.8467214703559875,0.003247819608077407
66,pathdino,rotate_285,0.8463869690895081,0.0047205472365021706
67,pathdino,rotate_315,0.8278141021728516,0.004370757844299078
68,pathdino,rotate_345,0.8482435941696167,0.002194264205172658
69,hibou_b,rotate_30,0.8096204400062561,0.0037667867727577686
70,hibou_b,rotate_60,0.8057527542114258,0.005586674436926842
71,hibou_b,rotate_90,0.8760406970977783,0.002377164550125599
72,hibou_b,rotate_120,0.80207759141922,0.003294944064691663
73,hibou_b,rotate_150,0.8060193061828613,0.004902939777821302
74,hibou_b,rotate_180,0.8812254071235657,0.0035946506541222334
75,hibou_b,rotate_210,0.8054518103599548,0.00393113074824214
76,hibou_b,rotate_240,0.8039690852165222,0.004777058959007263
77,hibou_b,rotate_270,0.8756730556488037,0.00242828787304461
78,hibou_b,rotate_300,0.8048782348632812,0.0038151221815496683
79,hibou_b,rotate_330,0.8082367777824402,0.004611434414982796
80,hibou_b,rotate_15,0.8241600394248962,0.003673361847177148
81,hibou_b,rotate_45,0.8039910793304443,0.0036611075047403574
82,hibou_b,rotate_75,0.8148911595344543,0.0034839625004678965
83,hibou_b,rotate_105,0.8137749433517456,0.005824606865644455
84,hibou_b,rotate_135,0.8010345697402954,0.002593850949779153
85,hibou_b,rotate_165,0.8166863918304443,0.0040900507010519505
86,hibou_b,rotate_195,0.8174774646759033,0.004785166122019291
87,hibou_b,rotate_225,0.8010088205337524,0.004590720869600773
88,hibou_b,rotate_255,0.813686192035675,0.0033378913067281246
89,hibou_b,rotate_285,0.8133776783943176,0.004651128780096769
90,hibou_b,rotate_315,0.8021486401557922,0.005064829718321562
91,hibou_b,rotate_345,0.8233829140663147,0.0038443829398602247
92,hibou_l,rotate_30,0.7141923308372498,0.006905124988406897
93,hibou_l,rotate_60,0.7102039456367493,0.0067481412552297115
94,hibou_l,rotate_90,0.8464862108230591,0.005360228009521961
95,hibou_l,rotate_120,0.7093144655227661,0.006497287191450596
96,hibou_l,rotate_150,0.7131428718566895,0.0052651106379926205
97,hibou_l,rotate_180,0.8606283068656921,0.003171401098370552
98,hibou_l,rotate_210,0.7081711292266846,0.006890660617500544
99,hibou_l,rotate_240,0.7106760144233704,0.00552636431530118
100,hibou_l,rotate_270,0.8442748785018921,0.00404615793377161
101,hibou_l,rotate_300,0.7100112438201904,0.0052952817641198635
102,hibou_l,rotate_330,0.7143709659576416,0.005760158412158489
103,hibou_l,rotate_15,0.7364581823348999,0.006321156397461891
104,hibou_l,rotate_45,0.7039556503295898,0.00897903647273779
105,hibou_l,rotate_75,0.7313375473022461,0.0056634279899299145
106,hibou_l,rotate_105,0.7306268811225891,0.00726593192666769
107,hibou_l,rotate_135,0.7037623524665833,0.006011232268065214
108,hibou_l,rotate_165,0.7313207387924194,0.007033646106719971
109,hibou_l,rotate_195,0.7316449284553528,0.006810388527810574
110,hibou_l,rotate_225,0.7029398083686829,0.008720955811440945
111,hibou_l,rotate_255,0.730000376701355,0.0056793843396008015
112,hibou_l,rotate_285,0.7314540147781372,0.005530735943466425
113,hibou_l,rotate_315,0.7059784531593323,0.008905296213924885
114,hibou_l,rotate_345,0.7386072278022766,0.005726313684135675
115,phikon,rotate_30,0.7974708080291748,0.00529676117002964
116,phikon,rotate_60,0.7809163928031921,0.004147806670516729
117,phikon,rotate_90,0.8410167098045349,0.003528299042955041
118,phikon,rotate_120,0.7708107233047485,0.005820128601044416
119,phikon,rotate_150,0.7821918725967407,0.0033363401889801025
120,phikon,rotate_180,0.8617380261421204,0.003745929105207324
121,phikon,rotate_210,0.7838954925537109,0.004656236618757248
122,phikon,rotate_240,0.7762000560760498,0.004560555797070265
123,phikon,rotate_270,0.845903217792511,0.004588224925100803
124,phikon,rotate_300,0.7872729301452637,0.00578024098649621
125,phikon,rotate_330,0.7999549508094788,0.0039734384045004845
126,phikon,rotate_15,0.8225944638252258,0.00420702388510108
127,phikon,rotate_45,0.7848289608955383,0.004361315164715052
128,phikon,rotate_75,0.7881669998168945,0.0035509015433490276
129,phikon,rotate_105,0.7820502519607544,0.003581856843084097
130,phikon,rotate_135,0.7722001671791077,0.004890217911452055
131,phikon,rotate_165,0.7977899312973022,0.003392037469893694
132,phikon,rotate_195,0.7961907386779785,0.005213562399148941
133,phikon,rotate_225,0.7749345898628235,0.004041706211864948
134,phikon,rotate_255,0.7860453128814697,0.004795122426003218
135,phikon,rotate_285,0.7912326455116272,0.003925665747374296
136,phikon,rotate_315,0.7859787344932556,0.004278581589460373
137,phikon,rotate_345,0.8215934634208679,0.004398542456328869
138,phikon2,rotate_30,0.6998090744018555,0.00888060312718153
139,phikon2,rotate_60,0.6567073464393616,0.0064226859249174595
140,phikon2,rotate_90,0.7042445540428162,0.005621055141091347
141,phikon2,rotate_120,0.6424431800842285,0.006912687793374062
142,phikon2,rotate_150,0.6709792613983154,0.007942099124193192
143,phikon2,rotate_180,0.7759138941764832,0.004597707185894251
144,phikon2,rotate_210,0.6818592548370361,0.006474438589066267
145,phikon2,rotate_240,0.6548926830291748,0.008047504350543022
146,phikon2,rotate_270,0.7233530879020691,0.006436878815293312
147,phikon2,rotate_300,0.6700009107589722,0.006610007490962744
148,phikon2,rotate_330,0.7054343223571777,0.006504845339804888
149,phikon2,rotate_15,0.7611419558525085,0.007674593478441238
150,phikon2,rotate_45,0.6565380096435547,0.0069654760882258415
151,phikon2,rotate_75,0.6752121448516846,0.005271198693662882
152,phikon2,rotate_105,0.661155104637146,0.007761565037071705
153,phikon2,rotate_135,0.6419421434402466,0.007384503725916147
154,phikon2,rotate_165,0.7105388045310974,0.005555036943405867
155,phikon2,rotate_195,0.7137739658355713,0.007369076833128929
156,phikon2,rotate_225,0.6550111174583435,0.006653997115790844
157,phikon2,rotate_255,0.6763222813606262,0.005961377639323473
158,phikon2,rotate_285,0.6925986409187317,0.0068171522580087185
159,phikon2,rotate_315,0.667229950428009,0.005716660991311073
160,phikon2,rotate_345,0.7637150287628174,0.006018051411956549
161,prov_gigapath,rotate_30,0.7063968777656555,0.008449810557067394
162,prov_gigapath,rotate_60,0.6959593296051025,0.0059577994979918
163,prov_gigapath,rotate_90,0.7837387323379517,0.0039832391776144505
164,prov_gigapath,rotate_120,0.6884511113166809,0.006157387979328632
165,prov_gigapath,rotate_150,0.6962424516677856,0.006089998409152031
166,prov_gigapath,rotate_180,0.8043715953826904,0.0046896617859601974
167,prov_gigapath,rotate_210,0.6970153450965881,0.006524988915771246
168,prov_gigapath,rotate_240,0.6898704767227173,0.006954715121537447
169,prov_gigapath,rotate_270,0.7844319343566895,0.00503503205254674
170,prov_gigapath,rotate_300,0.6961756944656372,0.00599627522751689
171,prov_gigapath,rotate_330,0.7082980871200562,0.007296272087842226
172,prov_gigapath,rotate_15,0.7250280380249023,0.0035888038109987974
173,prov_gigapath,rotate_45,0.6910731792449951,0.006016192026436329
174,prov_gigapath,rotate_75,0.7025496959686279,0.006064900197088718
175,prov_gigapath,rotate_105,0.6992268562316895,0.003968886565417051
176,prov_gigapath,rotate_135,0.6839843392372131,0.003739209845662117
177,prov_gigapath,rotate_165,0.7114970684051514,0.0063692787662148476
178,prov_gigapath,rotate_195,0.7120274305343628,0.005882494151592255
179,prov_gigapath,rotate_225,0.6842249631881714,0.0057069999165833
180,prov_gigapath,rotate_255,0.7022649049758911,0.005627655889838934
181,prov_gigapath,rotate_285,0.7039883136749268,0.004520985297858715
182,prov_gigapath,rotate_315,0.6919428110122681,0.004086512140929699
183,prov_gigapath,rotate_345,0.7279390692710876,0.007619685959070921
184,virchow,rotate_30,0.5802937746047974,0.009788931347429752
185,virchow,rotate_60,0.4777624309062958,0.005143234506249428
186,virchow,rotate_90,0.5316603183746338,0.006958699785172939
187,virchow,rotate_120,0.47457897663116455,0.009371241554617882
188,virchow,rotate_150,0.47310584783554077,0.009266659617424011
189,virchow,rotate_180,0.5472590327262878,0.011729703284800053
190,virchow,rotate_210,0.47071728110313416,0.005387668497860432
191,virchow,rotate_240,0.45625782012939453,0.006960220634937286
192,virchow,rotate_270,0.5884701013565063,0.009740309789776802
193,virchow,rotate_300,0.5916410684585571,0.007285878527909517
194,virchow,rotate_330,0.6276187896728516,0.009431921876966953
195,virchow,rotate_15,0.6866617202758789,0.005910559091717005
196,virchow,rotate_45,0.4966670572757721,0.008027410134673119
197,virchow,rotate_75,0.5074798464775085,0.006310272961854935
198,virchow,rotate_105,0.49733537435531616,0.01045351754873991
199,virchow,rotate_135,0.462362140417099,0.007163559552282095
200,virchow,rotate_165,0.49657779932022095,0.00786543544381857
201,virchow,rotate_195,0.494303435087204,0.009817764163017273
202,virchow,rotate_225,0.46252119541168213,0.008884350769221783
203,virchow,rotate_255,0.4919325113296509,0.00902384053915739
204,virchow,rotate_285,0.5931351780891418,0.009221978485584259
205,virchow,rotate_315,0.591833770275116,0.007822948507964611
206,virchow,rotate_345,0.6934592127799988,0.008305120281875134
207,virchow2,rotate_30,0.7170025706291199,0.0065954700112342834
208,virchow2,rotate_60,0.7043603658676147,0.009411404840648174
209,virchow2,rotate_90,0.8384426236152649,0.004533305298537016
210,virchow2,rotate_120,0.696909487247467,0.008078756742179394
211,virchow2,rotate_150,0.7026956677436829,0.005328870844095945
212,virchow2,rotate_180,0.8575278520584106,0.00356600945815444
213,virchow2,rotate_210,0.7036473751068115,0.007168903481215239
214,virchow2,rotate_240,0.6992599964141846,0.009586918167769909
215,virchow2,rotate_270,0.845345139503479,0.003830453846603632
216,virchow2,rotate_300,0.7117871642112732,0.006577324587851763
217,virchow2,rotate_330,0.7175023555755615,0.007134146988391876
218,virchow2,rotate_15,0.7593008875846863,0.007513195276260376
219,virchow2,rotate_45,0.697333037853241,0.007837926037609577
220,virchow2,rotate_75,0.7329869866371155,0.007918220944702625
221,virchow2,rotate_105,0.729027271270752,0.005575221963226795
222,virchow2,rotate_135,0.6866598129272461,0.0041121323592960835
223,virchow2,rotate_165,0.7378162741661072,0.009232582524418831
224,virchow2,rotate_195,0.7393431067466736,0.006153356283903122
225,virchow2,rotate_225,0.692123532295227,0.008725635707378387
226,virchow2,rotate_255,0.731497585773468,0.006785502657294273
227,virchow2,rotate_285,0.7388496994972229,0.006313385907560587
228,virchow2,rotate_315,0.7020650506019592,0.008910169824957848
229,virchow2,rotate_345,0.7587772607803345,0.004824569448828697
230,kaiko_b,rotate_30,0.8311965465545654,0.004647932015359402
231,kaiko_b,rotate_60,0.7864848375320435,0.004819368943572044
232,kaiko_b,rotate_90,0.8484189510345459,0.0044562965631484985
233,kaiko_b,rotate_120,0.8122485876083374,0.0049222614616155624
234,kaiko_b,rotate_150,0.8347949981689453,0.005443884525448084
235,kaiko_b,rotate_180,0.9249261021614075,0.003181285923346877
236,kaiko_b,rotate_210,0.8312480449676514,0.004992032889276743
237,kaiko_b,rotate_240,0.7844056487083435,0.0048328242264688015
238,kaiko_b,rotate_270,0.84862220287323,0.0072757164016366005
239,kaiko_b,rotate_300,0.814167320728302,0.0036042523570358753
240,kaiko_b,rotate_330,0.8352375030517578,0.0034439105074852705
241,kaiko_b,rotate_15,0.8582043051719666,0.0037953127175569534
242,kaiko_b,rotate_45,0.7958567142486572,0.005627190228551626
243,kaiko_b,rotate_75,0.8003161549568176,0.006279760040342808
244,kaiko_b,rotate_105,0.8175535202026367,0.005183803383260965
245,kaiko_b,rotate_135,0.8104996085166931,0.0035175944212824106
246,kaiko_b,rotate_165,0.8590036630630493,0.003657655091956258
247,kaiko_b,rotate_195,0.8572155833244324,0.004445232916623354
248,kaiko_b,rotate_225,0.794221043586731,0.00561123201623559
249,kaiko_b,rotate_255,0.8009995222091675,0.004820391070097685
250,kaiko_b,rotate_285,0.8173058032989502,0.004594453144818544
251,kaiko_b,rotate_315,0.8124899864196777,0.004753568675369024
252,kaiko_b,rotate_345,0.8601224422454834,0.004011298529803753
253,kaiko_l,rotate_30,0.7946450114250183,0.006254201754927635
254,kaiko_l,rotate_60,0.7208914756774902,0.010934578254818916
255,kaiko_l,rotate_90,0.7773542404174805,0.004416965879499912
256,kaiko_l,rotate_120,0.7478716373443604,0.0064729731529951096
257,kaiko_l,rotate_150,0.7932298183441162,0.009120616130530834
258,kaiko_l,rotate_180,0.9346348643302917,0.00270159007050097
259,kaiko_l,rotate_210,0.7912304401397705,0.00563241308555007
260,kaiko_l,rotate_240,0.7210913896560669,0.006831732578575611
261,kaiko_l,rotate_270,0.7776297330856323,0.009420361369848251
262,kaiko_l,rotate_300,0.7497649788856506,0.005620967131108046
263,kaiko_l,rotate_330,0.7943344116210938,0.006832489278167486
264,kaiko_l,rotate_15,0.8539026975631714,0.004669260233640671
265,kaiko_l,rotate_45,0.7327080368995667,0.008421727456152439
266,kaiko_l,rotate_75,0.7385877370834351,0.005552977789193392
267,kaiko_l,rotate_105,0.7626802921295166,0.006481761112809181
268,kaiko_l,rotate_135,0.7504952549934387,0.007521222345530987
269,kaiko_l,rotate_165,0.848076581954956,0.004294586833566427
270,kaiko_l,rotate_195,0.8481598496437073,0.005632713437080383
271,kaiko_l,rotate_225,0.7341574430465698,0.007651923224329948
272,kaiko_l,rotate_255,0.7377428412437439,0.005276194773614407
273,kaiko_l,rotate_285,0.7640300393104553,0.007076689042150974
274,kaiko_l,rotate_315,0.7543113231658936,0.006162920035421848
275,kaiko_l,rotate_345,0.8519222736358643,0.004690238740295172
